time, valid_out, skinScore
          0, x,   x
          1, x,   0
          2, x,   0
          3, x,   0
          4, x,   0
          5, x,   0
          6, x,   0
          7, x,   x
          8, x,   x
          9, x, 255
         10, x, 255
         11, x, 255
         12, x, 255
         13, x, 255
         14, x, 255
         15, x, 255
         16, x, 255
         17, x, 255
         18, x, 255
         19, x, 255
         20, x, 255
         21, x, 255
         22, x,   x
         23, x, 238
         24, x, 238
         25, x, 238
         26, x, 238
         27, x, 238
         28, x, 238
         29, x, 238
         30, x,   x
         31, x,   x
         32, x,   x
         33, x,   x
         34, x,   x
         35, x,   x
         36, x,   x
         37, x,   x
         38, x,   x
         39, x,   x
         40, x,   x
         41, x,   x
         42, 1,   0
         43, 1, 253
         44, 1, 184
         45, 0, 184
         46, 0, 184
         47, 0, 184
         48, 0, 184
         49, 0, 184
         50, 0, 184
         51, 0, 184
         52, 0, 184
         53, 0, 184
         54, 0, 184
         55, 0, 184
         56, 0, 184
         57, 0, 184
         58, 0, 184
         59, 0, 184
         60, 0, 184
         61, 0, 184
         62, 0, 184
         63, 0, 184
         64, 0, 184
         65, 0, 184
         66, 0, 184
         67, 0, 184
         68, 0, 184
         69, 0, 184
         70, 0, 184
         71, 0, 184
         72, 0, 184
         73, 0, 184
         74, 0, 184
         75, 0, 184
         76, 0, 184
         77, 0, 184
         78, 0, 184
         79, 0, 184
         80, 0, 184
         81, 0, 184
         82, 0, 184
         83, 0, 184
         84, 0, 184
         85, 0, 184
         86, 0, 184
         87, 0, 184
         88, 0, 184
         89, 0, 184
         90, 0, 184
         91, 0, 184
         92, 0, 184
         93, 0, 184
         94, 0, 184
         95, 0, 184
         96, 0, 184
         97, 0, 184
         98, 0, 184
         99, 0, 184
